SampleDate,SampleTime,Turbidity,Latitude,Longitude
2/6/2017,11:51:00,28.3,38.70664,-77.04876
2/6/2017,11:51:00,13.5,38.70664,-77.04876
2/6/2017,11:51:00,9.2,38.70664,-77.04876
2/6/2017,11:36:00,26.9,38.69067,-77.11111
2/6/2017,11:36:00,18.8,38.69067,-77.11111
2/6/2017,11:36:00,14.3,38.69067,-77.11111
2/6/2017,11:14:00,25.6,38.6082,-77.1739
2/6/2017,11:14:00,17.1,38.6082,-77.1739
2/6/2017,11:14:00,15.6,38.6082,-77.1739
2/6/2017,12:02:00,11.6,38.69787,-77.02317
2/15/2017,11:00:00,3.7,38.81123,-77.23026
3/1/2017,12:35:00,10.8,38.93893,-76.94344
3/6/2017,8:55:00,5.4,38.69842,-76.98673
3/6/2017,12:00:00,29.5,38.70664,-77.04876
3/6/2017,12:00:00,22,38.70664,-77.04876
3/6/2017,12:00:00,12.6,38.70664,-77.04876
3/6/2017,11:45:00,67.9,38.69067,-77.11111
3/6/2017,11:45:00,44.1,38.69067,-77.11111
3/6/2017,11:45:00,27.9,38.69067,-77.11111
3/6/2017,11:15:00,44.2,38.6082,-77.1739
3/6/2017,11:15:00,25.6,38.6082,-77.1739
3/6/2017,11:15:00,15.5,38.6082,-77.1739
3/6/2017,12:08:00,14.8,38.69787,-77.02317
3/15/2017,11:00:00,9,38.81123,-77.23026
4/5/2017,12:45:00,7.5,38.93893,-76.94344
4/6/2017,16:15:00,277.60001,38.81123,-77.23026
4/11/2017,9:35:00,8.9,38.69842,-76.98673
4/11/2017,11:48:00,18.9,38.70664,-77.04876
4/11/2017,11:48:00,14,38.70664,-77.04876
4/11/2017,11:48:00,13.1,38.70664,-77.04876
4/11/2017,11:35:00,35.4,38.69067,-77.11111
4/11/2017,11:35:00,27.3,38.69067,-77.11111
4/11/2017,11:35:00,20.2,38.69067,-77.11111
4/11/2017,11:06:00,51.1,38.6082,-77.1739
4/11/2017,11:06:00,18.3,38.6082,-77.1739
4/11/2017,11:06:00,12.5,38.6082,-77.1739
4/11/2017,11:58:00,18,38.69787,-77.02317
4/12/2017,11:45:00,3.2,38.81123,-77.23026
5/3/2017,12:55:00,18.5,38.93893,-76.94344
5/5/2017,9:30:00,349.10001,38.81123,-77.23026
5/8/2017,9:20:00,8.4,38.69842,-76.98673
5/8/2017,12:56:00,97.1,38.70664,-77.04876
5/8/2017,12:56:00,85.5,38.70664,-77.04876
5/8/2017,12:56:00,56.4,38.70664,-77.04876
5/8/2017,12:40:00,98.8,38.69067,-77.11111
5/8/2017,12:40:00,53.2,38.69067,-77.11111
5/8/2017,12:40:00,44.9,38.69067,-77.11111
5/8/2017,12:08:00,94.2,38.6082,-77.1739
5/8/2017,12:08:00,38.5,38.6082,-77.1739
5/8/2017,12:08:00,26.9,38.6082,-77.1739
5/8/2017,13:08:00,30.3,38.69787,-77.02317
5/10/2017,10:30:00,1.7,38.81123,-77.23026
5/13/2017,10:00:00,82.6,38.81123,-77.23026
6/7/2017,12:45:00,10.6,38.93893,-76.94344
6/12/2017,9:50:00,9.8,38.69842,-76.98673
6/12/2017,13:20:00,11,38.70664,-77.04876
6/12/2017,13:20:00,6.8,38.70664,-77.04876
6/12/2017,13:20:00,5,38.70664,-77.04876
6/12/2017,12:55:00,18.6,38.69067,-77.11111
6/12/2017,12:55:00,14.7,38.69067,-77.11111
6/12/2017,12:55:00,6.2,38.69067,-77.11111
6/12/2017,12:10:00,27.1,38.6082,-77.1739
6/12/2017,12:10:00,9.9,38.6082,-77.1739
6/12/2017,12:10:00,9.3,38.6082,-77.1739
6/12/2017,13:38:00,10.8,38.69787,-77.02317
6/14/2017,11:15:00,1.1,38.81123,-77.23026
7/5/2017,13:02:00,7,38.93893,-76.94344
7/6/2017,11:15:00,245.39999,38.81123,-77.23026
7/10/2017,9:05:00,14.6,38.69842,-76.98673
7/10/2017,13:25:00,212,38.70664,-77.04876
7/10/2017,13:25:00,8.2,38.70664,-77.04876
7/10/2017,13:25:00,8,38.70664,-77.04876
7/10/2017,13:06:00,27.8,38.69067,-77.11111
7/10/2017,13:06:00,20,38.69067,-77.11111
7/10/2017,13:06:00,7.6,38.69067,-77.11111
7/10/2017,12:28:00,62.1,38.6082,-77.1739
7/10/2017,12:28:00,15.6,38.6082,-77.1739
7/10/2017,12:28:00,9.1,38.6082,-77.1739
7/10/2017,13:45:00,8.9,38.69787,-77.02317
7/12/2017,9:30:00,1.5,38.81123,-77.23026
8/2/2017,12:40:00,26.8,38.93893,-76.94344
8/9/2017,11:15:00,4.4,38.81123,-77.23026
8/14/2017,9:24:00,27.1,38.69842,-76.98673
8/14/2017,12:45:00,25.4,38.70664,-77.04876
8/14/2017,12:45:00,19.3,38.70664,-77.04876
8/14/2017,12:45:00,14.5,38.70664,-77.04876
8/14/2017,12:23:00,45.5,38.69067,-77.11111
8/14/2017,12:23:00,24.6,38.69067,-77.11111
8/14/2017,12:23:00,15.8,38.69067,-77.11111
8/14/2017,11:42:00,38.8,38.6082,-77.1739
8/14/2017,11:42:00,13.6,38.6082,-77.1739
8/14/2017,11:42:00,11.3,38.6082,-77.1739
8/14/2017,13:05:00,18.1,38.69787,-77.02317
8/29/2017,16:00:00,24.9,38.81123,-77.23026
9/6/2017,12:50:00,13.5,38.93893,-76.94344
9/11/2017,9:30:00,5.8,38.69842,-76.98673
9/11/2017,12:10:00,16.4,38.70664,-77.04876
9/11/2017,12:10:00,15.7,38.70664,-77.04876
9/11/2017,12:10:00,9,38.70664,-77.04876
9/11/2017,11:50:00,22.3,38.69067,-77.11111
9/11/2017,11:50:00,14.5,38.69067,-77.11111
9/11/2017,11:50:00,9.1,38.69067,-77.11111
9/11/2017,11:20:00,21.3,38.6082,-77.1739
9/11/2017,11:20:00,15.7,38.6082,-77.1739
9/11/2017,11:20:00,11.2,38.6082,-77.1739
9/11/2017,12:22:00,10.5,38.69787,-77.02317
9/13/2017,11:15:00,1.7,38.81123,-77.23026
10/4/2017,12:45:00,8.3,38.93893,-76.94344
10/10/2017,9:45:00,7.4,38.69842,-76.98673
10/10/2017,12:00:00,14.8,38.70664,-77.04876
10/10/2017,12:00:00,15.8,38.70664,-77.04876
10/10/2017,12:00:00,6.2,38.70664,-77.04876
10/10/2017,11:40:00,13.5,38.69067,-77.11111
10/10/2017,11:40:00,12.1,38.69067,-77.11111
10/10/2017,11:40:00,8.9,38.69067,-77.11111
10/10/2017,11:13:00,20.7,38.6082,-77.1739
10/10/2017,11:13:00,14.6,38.6082,-77.1739
10/10/2017,11:13:00,8.3,38.6082,-77.1739
10/10/2017,12:15:00,10.8,38.69787,-77.02317
10/11/2017,11:30:00,1.6,38.81123,-77.23026
11/1/2017,13:48:00,5.3,38.93893,-76.94344
11/6/2017,9:45:00,11.9,38.69842,-76.98673
11/6/2017,11:33:00,15.6,38.70664,-77.04876
11/6/2017,11:33:00,14.7,38.70664,-77.04876
11/6/2017,11:33:00,12.2,38.70664,-77.04876
11/6/2017,11:16:00,20.6,38.69067,-77.11111
11/6/2017,11:16:00,19,38.69067,-77.11111
11/6/2017,11:16:00,14,38.69067,-77.11111
11/6/2017,10:49:00,40.1,38.6082,-77.1739
11/6/2017,10:49:00,15.3,38.6082,-77.1739
